Company,Bean_Origin,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin
Arete,Maya Mountain,2015,70,U.S.A.,"3,75",Trinitario,Belize
Arete,Chuno,2015,70,U.S.A.,4,"Criollo, Trinitario",Nicaragua
Arete,Fazenda Camboa,2015,75,U.S.A.,"2,75",,Brazil
Arete,Guatemala,2015,70,U.S.A.,"3,25",,Guatemala
Arete,Camino Verde,2015,75,U.S.A.,"3,5",,Ecuador
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013,72,U.K.,"3,25",Trinitario,Trinidad
Artisan du Chocolat,"Colombia, Casa Luker",2012,72,U.K.,"3,75",,Colombia
Artisan du Chocolat,Haiti,2011,72,U.K.,4,,Haiti
Artisan du Chocolat,Panama,2011,72,U.K.,"2,75",,Panama
Artisan du Chocolat,Venezuela,2010,100,U.K.,"1,75",,Venezuela
Artisan du Chocolat,Jamaica,2010,72,U.K.,"3,75",Trinitario,Jamaica
Artisan du Chocolat,Costa Rica,2010,72,U.K.,"3,25",,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,2010,72,U.K.,"3,25",Trinitario,Vietnam
Artisan du Chocolat,Bali,2010,72,U.K.,"3,5",,Indonesia
Artisan du Chocolat,"Ocumare, Venezuela",2009,75,U.K.,"2,5","Criollo, Trinitario",Venezuela
Artisan du Chocolat,Java,2009,72,U.K.,"2,75",Trinitario,Indonesia
Artisan du Chocolat,Brazil Rio Doce,2009,72,U.K.,"1,75",,Brazil
Artisan du Chocolat,Madagascar,2009,80,U.K.,3,"Criollo, Trinitario",Madagascar
Artisan du Chocolat,Peru,2009,75,U.K.,3,Criollo,Peru
Artisan du Chocolat,Dominican Republic,2009,72,U.K.,"3,25",Trinitario,Dominican Republic
Artisan du Chocolat,Congo,2008,72,U.K.,"3,75",Forastero,Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013,72,U.K.,"2,75",Trinitario,Colombia
Askinosie,Mababa,2016,68,U.S.A.,"3,75",Trinitario,Tanzania
Askinosie,"Tenende, Uwate",2011,72,U.S.A.,"3,75",Trinitario,Tanzania
Askinosie,Cortes,2011,70,U.S.A.,"3,75",Trinitario,Honduras
Askinosie,Davao,2009,77,U.S.A.,"3,75",Trinitario,Philippines
Askinosie,Xoconusco,2007,75,U.S.A.,"2,5",Trinitario,Mexico
Askinosie,San Jose del Tambo,2007,70,U.S.A.,3,Forastero (Arriba),Ecuador
Bahen & Co.,Houseblend,2015,80,Australia,"3,25",,
Bahen & Co.,Papua New Guinea,2015,70,Australia,"3,5",,Papua New Guinea
Bahen & Co.,Sambirano,2012,70,Australia,3,Trinitario,Madagascar
Bahen & Co.,Bahia,2012,70,Australia,"2,5",,Brazil
Bahen & Co.,Houseblend,2012,70,Australia,"2,5",Blend,
Bakau,"Bambamarca, 2015",2015,70,Peru,"2,75",,Peru
Bakau,"Huallabamba, 2015",2015,70,Peru,"3,5",,Peru
Bar Au Chocolat,Bahia,2015,70,U.S.A.,"3,5",,Brazil
Bar Au Chocolat,Maranon Canyon,2014,70,U.S.A.,4,Forastero (Nacional),Peru
Bar Au Chocolat,Duarte Province,2012,70,U.S.A.,"3,25",,Dominican Republic
Bar Au Chocolat,Chiapas,2012,70,U.S.A.,"3,5",,Mexico
Bar Au Chocolat,Sambirano,2012,70,U.S.A.,"3,75",Trinitario,Madagascar
Baravelli's,single estate,2012,80,Wales,"2,75",,Costa Rica
Batch,"Dominican Republic, Batch 3",2016,65,U.S.A.,"3,5",,Domincan Republic
Batch,Brazil,2016,70,U.S.A.,"3,75",,Brazil
Batch,Ecuador,2016,65,U.S.A.,"3,25",,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017,73,U.K.,3,,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017,72,U.K.,"3,25",,Malaysia
Beehive,"Brazil, Batch 20316",2016,80,U.S.A.,"2,75",,Brazil
Beehive,"Dominican Republic, Batch 31616",2016,70,U.S.A.,"2,75",,Domincan Republic
Beehive,"Ecuador, Batch 31516",2016,70,U.S.A.,"2,75",,Ecuador
Beehive,Ecuador,2016,90,U.S.A.,"2,75",,Ecuador
Belcolade,Costa Rica,2010,64,Belgium,"2,75",,Costa Rica
Belcolade,Papua New Guinea,2010,64,Belgium,"2,75",,Papua New Guinea
Belcolade,Peru,2010,64,Belgium,"2,75",,Peru
Belcolade,Ecuador,2010,71,Belgium,"3,5",,Ecuador
Bellflower,"Kakao Kamili, Kilombero Valley",2016,70,U.S.A.,"3,5","Criollo, Trinitario",Tanzania
Bellflower,"Alto Beni, Palos Blanco",2016,70,U.S.A.,"3,25",,Bolivia
Bellflower,"Oko Caribe, Duarte P.",2016,70,U.S.A.,"3,5",,Domincan Republic
Belyzium,"Belize south, low fermentation",2016,83,Germany,"2,75",Trinitario,Belize
Belyzium,Belize south,2016,78,Germany,3,Trinitario,Belize
Belyzium,Belize south,2016,83,Germany,"3,5",Trinitario,Belize
Benoit Nihant,Baracoa,2013,74,Belgium,"3,5",Trinitario,Cuba
Benoit Nihant,Chuao,2013,74,Belgium,"3,5",Criollo,Venezuela
Benoit Nihant,Cuyagua Village,2013,74,Belgium,"3,5",Criollo,Venezuela
Benoit Nihant,Rio Peripa H.,2013,73,Belgium,4,Trinitario,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011,72,Belgium,4,Trinitario,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011,72,Belgium,"3,75",Trinitario,Madagascar
Bernachon,Nature,2012,55,France,"2,75",,
Beschle (Felchlin),Madagascar,2011,64,Switzerland,3,Trinitario,Madagascar
Beschle (Felchlin),Maracaibo,2011,88,Switzerland,3,Criollo,Venezuela
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011,72,Switzerland,"3,5",,Venezuela
Beschle (Felchlin),Ecuador,2011,72,Switzerland,4,,Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",2010,70,Switzerland,"3,25",Trinitario,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010,74,Switzerland,"3,25",Criollo (Porcelana),Venezuela
Beschle (Felchlin),"Java, Grand Cru",2010,64,Switzerland,"3,5",,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010,72,Switzerland,"3,5",,Venezuela
Bisou,"Nicaragua, American style",2015,76,U.S.A.,"2,5",,Nicaragua
Bisou,"San Andres, American style",2015,76,U.S.A.,"2,5",,Costa Rica
Bisou,"San Andres, silk",2015,78,U.S.A.,"2,5",,Costa Rica
Bisou,Belize,2015,86,U.S.A.,"3,25",Trinitario,Belize
Bittersweet Origins,Ghana,2012,72,U.S.A.,"3,5",Forastero,Ghana
Bittersweet Origins,"Bali, Singaraja",2010,75,U.S.A.,"3,25",,Indonesia
Bittersweet Origins,2009 Hapa Nibby,2010,70,U.S.A.,"3,75",Blend,"Dominican Rep., Bali"
Bittersweet Origins,"Bali, Singaraja",2010,65,U.S.A.,"2,75",,Indonesia
Bittersweet Origins,"Sambirano, 2009",2010,70,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,"Ocumare, prototype",2010,78,U.S.A.,3,Criollo,Venezuela
Bittersweet Origins,Puerto Plata,2009,75,U.S.A.,3,,Dominican Republic
Bittersweet Origins,Puerto Plata,2009,65,U.S.A.,"3,5",,Dominican Republic
Bittersweet Origins,Sambirano,2009,75,U.S.A.,"3,25",Trinitario,Madagascar
Bittersweet Origins,Sambirano,2009,65,U.S.A.,"3,5",Trinitario,Madagascar
Bittersweet Origins,Sambirano,2008,71,U.S.A.,3,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,2008,75,U.S.A.,"3,5",,Panama
Bittersweet Origins,Puerto Plata,2008,68,U.S.A.,"3,75",,Dominican Republic
Bittersweet Origins,Ankasa,2008,70,U.S.A.,3,Forastero,Ghana
Black Mountain,La Red,2008,70,U.S.A.,"2,75",,Dominican Republic
Black Mountain,Carenero Superior,2008,70,U.S.A.,"2,75",Trinitario,Venezuela
Black Mountain,Matiguas,2008,70,U.S.A.,3,,Nicaragua
Black River (A. Morin),Blue Mountain Region,2014,70,U.K.,"2,75",Trinitario,Jamaica
Blanxart,"Congo, Grand Cru",2013,82,Spain,"3,5",Forastero,Congo
Blanxart,Organic Dark,2009,72,Spain,"2,75",,
Blue Bandana,"Akesson's E., Sambirano V.",2016,82,U.S.A.,"3,5",Trinitario,Madagascar
Blue Bandana,Lachua,2016,75,U.S.A.,"2,75",,Guatemala
Blue Bandana,Kokoa Kamili,2016,75,U.S.A.,"3,5",,Tanzania
Blue Bandana,Zorzal Reserva,2016,75,U.S.A.,3,,Dominican Republic
Blue Bandana,Guatemala,2012,70,U.S.A.,"3,5",,Guatemala
Blue Bandana,Madagascar,2012,70,U.S.A.,"3,75",Trinitario,Madagascar
Bonnat,Selva Maya,2016,75,France,"3,5",,Mexico
Bonnat,Kaori,2014,75,France,4,,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",2014,75,France,"3,25",,Dominican Republic
Bonnat,Surfin,2014,65,France,"3,75",,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Maragnam,2013,75,France,"3,5",,Brazil
Bonnat,Gabon,2013,75,France,"3,25",,Gabon
Bonnat,Cuba,2011,75,France,"3,5",Trinitario,Cuba
Bonnat,"Cusco, Cacao Cusco",2011,75,France,"3,5",,Peru
Bonnat,Piura Blanco,2011,75,France,"3,5",Forastero (Nacional),Peru
Bonnat,Libanio,2011,75,France,"3,75",,Brazil
Bonnat,Haiti,2011,75,France,4,,Haiti
Bonnat,"Madagascar, 100% criollo",2011,75,France,4,Criollo,Madagascar
Bonnat,Juliana,2011,75,France,"3,5",,Brazil
Bonnat,Jamaique,2011,75,France,"3,25",Trinitario,Jamaica
Bonnat,Ivory Coast,2009,75,France,3,,Ivory Coast
Bonnat,"Porcelana, Apotequil",2009,75,France,"2,75",Criollo,Peru
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009,75,France,3,Criollo,Mexico
Bonnat,"Xoconusco, cacao Real",2009,75,France,3,Criollo,Mexico
Bonnat,"Porcelana, Venezuela",2008,75,France,4,Criollo (Porcelana),Venezuela
Bonnat,Equateur,2007,75,France,"2,5",Forastero (Arriba),Ecuador
Bonnat,Trinite,2006,75,France,"3,75",Trinitario,Carribean
Bonnat,"Ocumare, Puerto Cabello",2006,75,France,4,,Venezuela
Bonnat,"Maracaibo, El Rosario",2006,75,France,4,Criollo,Venezuela
Bonnat,Madagascar,2006,75,France,4,Trinitario,Madagascar
Bonnat,One Hundred,2006,100,France,"1,5",,
Bonnat,Ceylan,2006,75,France,3,,Sri Lanka
Bonnat,Chuao,2006,75,France,4,Trinitario,Venezuela
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,77,Ecuador,"3,25",Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100,Ecuador,"1,5",Forastero (Arriba),Ecuador
Bowler Man,Maya Mountain,2014,70,U.S.A.,"2,75",Trinitario,Belize
Bowler Man,Conacado,2014,70,U.S.A.,"2,75",,Dominican Republic
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",2016,70,U.S.A.,"3,5",Criollo,Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",2016,70,U.S.A.,"3,75",,Nicaragua
Brasstown aka It's Chocolate,Conacado,2015,68,U.S.A.,"3,75",,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,2014,70,U.S.A.,"3,75",Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,2014,70,U.S.A.,4,Trinitario,Venezuela
Brasstown aka It's Chocolate,Cooproagro,2013,72,U.S.A.,3,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",2013,70,U.S.A.,"3,25",,Ecuador
Brasstown aka It's Chocolate,Ghana,2013,75,U.S.A.,"3,5",Forastero,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013,85,U.S.A.,"3,5",Trinitario,Venezuela
Brazen,Elvesia P.,2015,60,U.S.A.,3,,Dominican Republic
Brazen,Elvesia P.,2015,80,U.S.A.,"3,25",,Dominican Republic
Brazen,"Alta Verapaz, 2014",2015,70,U.S.A.,"3,5",,Guatemala
Brazen,Ambolikapiky P.,2015,80,U.S.A.,"2,75",,Madagascar
Brazen,Maya Mountain,2015,80,U.S.A.,"3,25",Trinitario,Belize
Brazen,Ambolikapkly P.,2015,60,U.S.A.,"3,25",,Madagascar
Breeze Mill,Jamaica,2013,70,U.S.A.,3,Trinitario,Jamaica
Bright,Somia Plantation,2014,72,Australia,3,Trinitario,Madagascar
Bright,Marabel Farms,2014,70,Australia,"3,5",,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",2014,72,Australia,"3,5",,Ecuador
Bright,Gran Couva,2014,68,Australia,"2,75",Trinitario,Trinidad
Britarev,Ecuador,2015,70,Russia,"3,25",,Ecuador
Bronx Grrl Chocolate,Dominican Republic,2013,68,U.S.A.,"2,75",,Dominican Republic
Burnt Fork Bend,Trinidad,2014,72,U.S.A.,"3,25",Trinitario,Trinidad
Burnt Fork Bend,Mindo,2014,72,U.S.A.,"3,5",,Ecuador
Burnt Fork Bend,Belize,2014,72,U.S.A.,"3,25",Trinitario,Belize
Burnt Fork Bend,Blend,2014,72,U.S.A.,"3,25",Blend,
Burnt Fork Bend,"Ecuador, Bob Bar",2014,60,U.S.A.,"2,5",,Ecuador
Cacao Arabuco,Puerto Rico,2015,70,Puerto Rico,"2,5",,Puerto Rico
Cacao Atlanta,Tumbes,2014,75,U.S.A.,"2,5",Criollo,Peru
Cacao Atlanta,"Dominican Republic, ""Love Bar""",2010,75,U.S.A.,"2,5",,Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,2010,75,U.S.A.,"2,75",,Dominican Republic
Cacao Atlanta,Patanemo,2010,75,U.S.A.,"2,25",,Venezuela
Cacao Barry,Grand 'Anse,2016,65,France,"3,5","Trinitario, Criollo",Haiti
Cacao Barry,Santo Domingo,2010,70,France,3,,Dominican Republic
Cacao Barry,Tanzania,2008,75,France,2,,Tanzania
Cacao Barry,Venezuela,2007,72,France,2,,Venezuela
Cacao Barry,Mexico,2007,66,France,3,,Mexico
Cacao de Origen,Chuao,2015,77,Venezuela,"3,5",Trinitario,Venezuela
Cacao de Origen,Rio Caribe,2015,75,Venezuela,"3,25",Trinitario,Venezuela
Cacao de Origen,"Agua Fria, Sucre region",2014,75,Venezuela,"2,5",,Venezuela
Cacao de Origen,"Macuare, Miranda, Chloe formula",2014,74,Venezuela,"3,25",,Venezuela
Cacao de Origen,"Chuao, Aragua region",2014,75,Venezuela,"3,5",Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",2014,70,Venezuela,"3,75",Trinitario,Venezuela
Cacao de Origin,Hacienda la Trinidad,2015,74,Venezuela,"3,25",,Venezuela
Cacao Hunters,Macondo,2016,71,Colombia,"3,75",,Colombia
Cacao Hunters,Perla Negra,2016,74,Colombia,"3,75",,Colombia
Cacao Hunters,Arhuacos,2015,72,Colombia,"3,75",,Colombia
Cacao Hunters,Sierra Nevada,2014,64,Colombia,"3,5",,Colombia
Cacao Hunters,Tumaco,2014,70,Colombia,"3,5",,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",2014,69,Colombia,"2,75",,Colombia
Cacao Hunters,Arauca,2014,70,Colombia,"3,25",,Colombia
Cacao Market,"Jutiapa, lot 050916D",2016,70,U.S.A.,"3,5",Trinitario,Honduras
Cacao Prieto,"Criollo, Dominican Republic",2012,72,U.S.A.,"3,75",Criollo,Dominican Republic
Cacao Prieto,"Dominican Republicm, rustic",2011,72,U.S.A.,3,,Dominican Republic
Cacao Prieto,Dominican Republic,2011,66,U.S.A.,"3,75",,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",2011,65,U.S.A.,"3,25",,Dominican Republic
Cacao Sampaka,"Mahali, Kasai",2016,70,Spain,"3,5",Criollo,Congo
Cacao Sampaka,Madagascar,2010,71,Spain,"3,5",Trinitario,Madagascar
Cacao Sampaka,Ecuador,2010,71,Spain,"3,75",,Ecuador
Cacao Sampaka,Papua,2010,71,Spain,4,,Papua New Guinea
Cacao Sampaka,Grenada,2010,71,Spain,"3,25",Trinitario,Grenada
Cacao Sampaka,Venezuela,2010,71,Spain,"3,5",,Venezuela
Cacao Sampaka,Venezuela,2010,77,Spain,"3,5",,Venezuela
Cacao Sampaka,"Porcelana, Tabasco, La Joya",2009,70,Spain,4,Criollo,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",2009,70,Spain,4,Criollo,Mexico
Cacao Store,Madagascar,2015,70,Japan,3,Trinitario,Madagascar
Cacao Store,Peru,2015,70,Japan,"3,25",,Peru
Cacao Store,Vietnam,2015,70,Japan,"3,5",Trinitario,Vietnam
Cacaosuyo (Theobroma Inversiones),Piura,2013,70,Peru,"3,25",,Peru
Cacaoyere (Ecuatoriana),Amazonia,2008,63,Ecuador,"3,5",Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,2008,71,Ecuador,"3,5",Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Bolivar,2008,82,Ecuador,"2,5",Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Pichincha,2008,91,Ecuador,"1,5",Forastero (Arriba),Ecuador
Callebaut,Grenade,2008,60,Belgium,"2,75",Trinitario,Grenada
Callebaut,Baking,2007,70,Belgium,1,,Ecuador
C-Amaro,Cuba,2014,75,Italy,"2,5",,Cuba
C-Amaro,Dominican Republic,2014,72,Italy,3,,Dominican Republic
C-Amaro,"Lago di Como, Blu",2014,70,Italy,"3,5",Blend,
C-Amaro,Ecuador,2013,100,Italy,"3,5",,Ecuador
C-Amaro,Venezuela,2012,80,Italy,3,,Venezuela
C-Amaro,Sao Tome,2011,78,Italy,"2,25",Forastero,Sao Tome
C-Amaro,Trinidad,2011,70,Italy,"2,5",Trinitario,Trinidad
Cao,Porcelana,2016,75,U.S.A.,"2,5",Criollo,Venezuela
Cao,Tanzania,2016,73,U.S.A.,"2,75",,Tanzania
Cao,"Porcelana, Batch 5163",2016,70,U.S.A.,3,Criollo,Venezuela
Cao,Bolivia,2016,75,U.S.A.,3,,Bolivia
Cao,Brazil,2016,70,U.S.A.,"3,25",Trinitario,Brazil
Caoni (Tulicorp),Esmeraldas,2008,77,Ecuador,2,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,2008,77,Ecuador,"2,5",Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,2008,77,Ecuador,"2,75",Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,2008,55,Ecuador,3,Forastero (Arriba),Ecuador
